user_id,text,timestamp,label
1843,I enjoyed a nice walk outside,2024-08-27,0
322,I enjoyed spending time with friends,2024-12-12,0
607,I feel hopeless about my future,2024-10-17,1
1778,I can't find joy in anything,2024-03-26,1
218,I enjoyed spending time with friends,2024-12-12,0
1069,I feel empty inside,2024-11-19,1
1972,I feel tired of everything,2024-03-17,1
1162,I had a great day today,2024-07-07,0
243,I had a great day today,2024-02-01,0
1220,I have no motivation anymore,2024-03-09,1
824,I enjoyed spending time with friends,2024-07-24,0
1646,I have no motivation anymore,2024-10-31,1
1174,I had a good conversation today,2024-11-02,0
1160,I feel hopeless about my future,2024-03-30,1
460,I feel empty inside,2024-08-05,1
1298,I enjoyed a nice walk outside,2024-04-10,0
118,I feel tired of everything,2024-01-01,1
970,I watched a great movie today,2024-12-12,0
925,I enjoyed a nice walk outside,2024-10-31,0
593,I watched a great movie today,2024-05-15,0
1977,I love playing sports,2024-08-08,0
415,Nothing makes me happy anymore,2024-09-23,1
1611,I feel happy and motivated,2024-07-30,0
672,I have no motivation anymore,2024-04-07,1
506,I had a great day today,2024-05-14,0
1239,I can't find joy in anything,2024-10-25,1
36,Nothing makes me happy anymore,2024-10-14,1
1128,I feel hopeless about my future,2024-06-08,1
231,I enjoyed a nice walk outside,2024-05-16,0
1728,I watched a great movie today,2024-07-14,0
1561,Today was a relaxing day,2024-10-21,0
287,I have no motivation anymore,2024-02-27,1
154,I feel empty inside,2024-03-29,1
1922,I have no motivation anymore,2024-09-01,1
336,I feel like nobody understands me,2024-12-15,1
545,I feel empty inside,2024-07-27,1
1364,Today was a relaxing day,2024-02-09,0
1779,Today was productive and fun,2024-10-07,0
101,Nothing makes me happy anymore,2024-02-19,1
164,I feel empty inside,2024-03-27,1
1592,Life feels meaningless,2024-05-19,1
6,I love playing sports,2024-10-29,0
1205,I feel hopeless about my future,2024-01-30,1
1413,I watched a great movie today,2024-11-20,0
769,I feel hopeless about my future,2024-09-30,1
16,I love playing sports,2024-02-15,0
221,I love playing sports,2024-10-10,0
998,I had a great day today,2024-05-10,0
827,I had a good conversation today,2024-03-17,0
21,Today was productive and fun,2024-03-13,0
200,I can't find joy in anything,2024-11-09,1
1166,I have no motivation anymore,2024-08-09,1
1413,I enjoyed spending time with friends,2024-01-17,0
775,Today was productive and fun,2024-07-23,0
1838,I feel like nobody understands me,2024-05-02,1
1583,I watched a great movie today,2024-03-23,0
1860,I have no motivation anymore,2024-10-10,1
1787,Life feels meaningless,2024-05-18,1
1614,I feel very sad and lonely,2024-12-13,1
626,I feel very sad and lonely,2024-09-30,1
1698,Today was productive and fun,2024-08-12,0
1347,I feel like nobody understands me,2024-07-20,1
1122,I am excited about tomorrow,2024-05-18,0
1228,I had a great day today,2024-11-14,0
1066,I enjoyed spending time with friends,2024-10-28,0
1074,I enjoyed a nice walk outside,2024-07-05,0
1356,I can't find joy in anything,2024-11-20,1
1273,Today was productive and fun,2024-04-30,0
192,Life feels meaningless,2024-07-12,1
905,I feel hopeless about my future,2024-04-15,1
846,I feel tired of everything,2024-12-15,1
1418,Nothing makes me happy anymore,2024-05-31,1
1752,I feel empty inside,2024-07-13,1
340,I had a good conversation today,2024-02-18,0
1347,I feel empty inside,2024-08-29,1
1623,I am excited about tomorrow,2024-05-08,0
1020,I am excited about tomorrow,2024-02-25,0
